"cig","ASC_H_B1950","ASC_M_B1950","ASC_S_B1950","ASC_D_B1950","DEC_G_B1950","DEC_M_B1950","DEC_S_B1950","DEC_D_B1950","ASC_H_J2000","ASC_M_J2000","ASC_S_J2000","ASC_D_J2000","DEC_G_J2000","DEC_M_J2000","DEC_S_J2000","DEC_D_J2000","BIBLIO_ID"
"1","0","0","31.92","0.13300","-2","11","33.8","-2.1927","0","3","5.63","0.77345","-1","54","51.6","-1.9143","2"
"2","0","0","46.30","0.19291","29","31","8.0","29.5188","0","3","20.37","0.83487","29","47","50.2","29.7972","2"
"3","0","0","47.77","0.19904","30","30","13.4","30.5037","0","3","21.86","0.84108","30","46","55.7","30.7821","2"
"4","0","1","24.75","0.35312","20","28","26.5","20.4740","0","3","58.77","0.99487","20","45","8.7","20.7524","2"
"5","0","5","19.86","1.33275","20","8","2.8","20.1341","0","7","54.30","1.97625","20","24","44.6","20.4123","2"
"6","0","6","20.00","1.58333","23","32","21.1","23.5391","0","8","54.70","2.22791","23","49","2.8","23.8174","2"
"7","0","8","32.54","2.13558","2","23","59.5","2.3998","0","11","6.39","2.77662","2","40","40.8","2.6780","2"
"8","0","9","34.64","2.39433","11","46","2.9","11.7674","0","12","9.04","3.03766","12","2","44.0","12.0455","2"
"9","0","10","4.23","2.51762","5","13","38.2","5.2272","0","12","38.26","3.15941","5","30","19.2","5.5053","2"
"10","0","10","24.24","2.60100","38","58","4.0","38.9677","0","13","0.74","3.25308","39","14","45.0","39.2458","2"
"11","0","11","58.22","2.99258","-1","0","51.0","-1.0141","0","14","31.88","3.63283","0","44","10.4","-0.7362","2"
"12","0","13","22.82","3.34508","13","47","50.8","13.7974","0","15","57.60","3.99000","14","4","31.0","14.0752","2"
"13","0","13","40.36","3.41816","10","3","15.3","10.0542","0","16","14.87","4.06195","10","19","55.5","10.3320","2"
"14","0","16","18.54","4.07725","10","18","59.8","10.3166","0","18","53.21","4.72170","10","35","39.1","10.5941","2"
"15","0","18","29.95","4.62479","26","14","9.6","26.2360","0","21","6.54","5.27725","26","30","48.1","26.5133","2"
"16","0","19","1.45","4.75604","0","53","17.4","0.8881","0","21","35.28","5.39700","1","9","55.8","1.1655","2"
"17","0","20","47.18","5.19658","1","34","10.0","1.5694","0","23","21.10","5.83791","1","50","47.6","1.8465","2"
"18","0","21","16.25","5.31770","28","3","22.7","28.0563","0","23","53.50","5.97291","28","20","0.1","28.3333","2"
"19","0","21","40.80","5.42000","13","57","35.5","13.9598","0","24","16.21","6.06754","14","14","12.7","14.2368","2"
"20","0","22","18.60","5.57750","43","23","8.2","43.3856","0","24","58.86","6.24525","43","39","45.1","43.6625","2"
"21","0","22","59.60","5.74833","17","7","0.9","17.1169","0","25","35.52","6.39800","17","23","37.5","17.3937","2"
"22","0","25","0.49","6.25204","8","36","2.8","8.6007","0","27","35.39","6.89745","8","52","38.4","8.8773","2"
"23","0","27","7.07","6.77945","21","11","60.0","21.2000","0","29","44.02","7.43341","21","28","34.5","21.4762","2"
"24","0","28","20.21","7.08420","5","20","44.1","5.3455","0","30","54.76","7.72816","5","37","18.0","5.6216","2"
"25","0","28","22.82","7.09508","9","55","56.1","9.9322","0","30","58.08","7.74200","10","12","30.0","10.2083","2"
"26","0","29","12.30","7.30125","37","24","9.8","37.4027","0","31","52.85","7.97020","37","40","43.2","37.6786","2"
"27","0","30","53.15","7.72145","22","37","38.3","22.6273","0","33","30.80","8.37833","22","54","10.7","22.9029","2"
"28","0","31","24.75","7.85312","43","52","10.9","43.8696","0","34","7.68","8.53200","44","8","42.9","44.1452","2"
"29","0","32","10.11","8.04212","28","8","6.4","28.1351","0","34","49.07","8.70445","28","24","38.0","28.4105","2"
"30","0","35","4.25","8.76770","10","4","59.5","10.0831","0","37","39.88","9.41616","10","21","29.2","10.3581","2"
"31","0","35","59.86","8.99941","41","43","21.0","41.7225","0","38","43.30","9.68041","41","59","50.0","41.9972","2"
"32","0","40","18.05","10.07520","26","58","46.1","26.9794","0","42","57.95","10.74145","27","15","11.9","27.2533","2"
"33","0","40","54.14","10.22558","0","23","52.2","-0.3978","0","43","27.81","10.86587","0","7","26.9","-0.1241","2"
"34","0","44","10.03","11.04179","26","12","6.9","26.2019","0","46","50.28","11.70950","26","28","29.5","26.4748","2"
"35","0","48","18.21","12.07587","44","26","39.8","44.4443","0","51","6.10","12.77541","44","42","58.6","44.7162","2"
"36","0","48","40.63","12.16929","40","27","14.0","40.4538","0","51","26.76","12.86150","40","43","32.4","40.7256","2"
"37","0","51","22.41","12.84337","30","4","28.3","30.0745","0","54","5.01","13.52087","30","20","44.1","30.3455","2"
"38","0","51","56.89","12.98704","36","29","39.5","36.4943","0","54","42.07","13.67529","36","45","54.8","36.7652","2"
"39","0","52","3.07","13.01279","21","15","7.0","21.2519","0","54","42.83","13.67845","21","31","22.2","21.5228","2"
"40","0","52","12.82","13.05341","10","16","0.4","10.2667","0","54","49.38","13.70575","10","32","15.4","10.5376","2"
"41","0","55","37.42","13.90591","36","27","38.8","36.4607","0","58","23.36","14.59733","36","43","50.2","36.7306","2"
"42","1","1","38.97","15.41237","18","25","41.9","18.4283","1","4","18.79","16.07829","18","41","46.6","18.6962","2"
"43","1","3","20.90","15.83708","3","49","23.3","3.8231","1","5","55.91","16.48295","4","5","26.0","4.0905","2"
"44","1","3","58.43","15.99345","10","15","16.2","10.2545","1","6","35.60","16.64833","10","31","18.1","10.5216","2"
"45","1","4","43.04","16.17933","16","25","3.6","16.4176","1","7","22.41","16.84337","16","41","4.5","16.6845","2"
"46","1","7","30.39","16.87662","22","41","22.7","22.6896","1","10","12.43","17.55179","22","57","20.0","22.9555","2"
"47","1","13","28.90","18.37041","24","55","40.7","24.9279","1","16","12.65","19.05270","25","11","30.0","25.1916","2"
"48","1","14","8.85","18.53687","22","53","22.0","22.8894","1","16","51.76","19.21566","23","9","10.4","23.1528","2"
"49","1","15","30.82","18.87841","11","7","7.8","11.1188","1","18","8.91","19.53712","11","22","54.2","11.3817","2"
"50","1","23","47.16","20.94650","6","1","6.8","6.0185","1","26","23.50","21.59791","6","16","40.8","6.2780","2"
"51","1","25","8.76","21.28650","32","43","56.7","32.7324","1","27","58.41","21.99337","32","59","28.3","32.9911","2"
"52","1","27","17.13","21.82137","29","31","5.5","29.5181","1","30","5.21","22.52170","29","46","33.6","29.7760","2"
"53","1","28","2.90","22.01208","21","10","57.1","21.1825","1","30","46.54","22.69391","21","26","24.0","21.4400","2"
"54","1","30","54.70","22.72791","12","19","46.0","12.3294","1","33","34.21","23.39254","12","35","8.1","12.5855","2"
"55","1","32","26.12","23.10883","21","38","46.7","21.6463","1","35","10.47","23.79362","21","54","6.2","21.9017","2"
