ID_Galaxia,CIG,Eje_mayor_aparente,Error_eje_mayor_aparente,Relación_ejes_log,Error_relación_ejes_log,Comentario_general,Eje_mayor_arcsegundos,Eje_mayor_decimales,Eje_menor_arcsegundos,Eje_menor_decimales,Ángulo_inclinación,Ángulo_inclinación_decimales,Ángulo_posición,Fuente_ángulo_posición,Tamaño_físico_eje_mayor,Tamaño_físico_eje_mayor_decimales,Tamaño_físico_eje_menor,Tamaño_físico_eje_menor_decimales,Comentarios
2,2,0.858,0.042,0.157,0.019,,0.72,0.721,0.5,0.502,46.8,46.816,95.75,"54",19.9,19.874,13.8,13.845,
3,3,0.604,0.078,0.22,0.026,,0.4,0.402,0.24,0.242,55.1,55.052,165.0,"54",,,,,
4,4,1.517,0.019,0.654,0.031,,3.29,3.289,0.73,0.729,90.0,90.0,46.33,"54",30.5,30.496,6.8,6.765,
5,5,0.861,0.055,0.358,0.025,,0.73,0.726,0.32,0.318,75.5,75.468,132.33,"54",22.4,22.369,9.8,9.81,
6,6,0.843,0.043,0.355,0.02,,0.7,0.697,0.31,0.308,65.3,65.321,152.27,"54",12.5,12.487,5.5,5.514,
7,7,0.84,0.056,0.21,0.028,,0.69,0.692,0.43,0.427,54.0,53.958,26.22,"54",34.2,34.191,21.1,21.082,
8,8,0.876,0.074,0.434,0.028,,0.75,0.752,0.28,0.277,71.7,71.679,74.0,"54",18.6,18.593,6.8,6.845,
9,9,0.959,0.047,0.379,0.026,,0.91,0.91,0.38,0.38,68.1,68.066,68.0,"54",29.9,29.918,12.5,12.501,
10,10,1.023,0.04,0.323,0.025,,1.05,1.054,0.5,0.501,63.9,63.935,108.0,"54",19.5,19.52,9.3,9.279,
11,11,1.195,0.033,0.372,0.033,,1.57,1.567,0.67,0.665,67.0,66.952,82.58,"54",23.9,23.912,10.2,10.154,
12,12,0.925,0.055,0.484,0.029,,0.84,0.841,0.28,0.276,77.9,77.863,61.8,"54",18.0,18.009,5.9,5.909,
13,13,1.144,0.065,0.302,0.044,,1.39,1.393,0.7,0.695,90.0,90.0,115.0,"54",28.5,28.455,14.2,14.196,
14,14,0.97,0.051,0.15,0.028,,0.93,0.933,0.66,0.661,56.8,56.769,174.5,"54",19.5,19.523,13.8,13.821,
15,15,0.843,0.057,0.38,0.028,,0.7,0.697,0.29,0.29,69.0,68.997,131.0,"54",31.8,31.794,13.3,13.254,
16,16,0.781,0.063,0.314,0.031,,0.6,0.604,0.29,0.293,83.3,83.284,138.74,"54",12.8,12.799,6.2,6.211,
17,17,0.987,0.05,0.13,0.03,,0.97,0.971,0.72,0.719,43.3,43.257,141.41,"54",45.4,45.409,33.7,33.662,
18,18,0.851,0.048,0.227,0.023,,0.71,0.71,0.42,0.421,54.9,54.927,27.99,"54",20.1,20.139,11.9,11.941,
19,19,1.04,0.101,0.873,0.044,,1.1,1.096,0.15,0.147,90.0,90.0,57.45,"54",23.1,23.103,3.1,3.095,
20,20,0.982,0.082,0.027,0.037,,0.96,0.959,0.9,0.902,27.9,27.949,80.0,"145",19.6,19.643,18.5,18.459,
21,21,0.797,0.064,0.22,0.028,,0.63,0.627,0.38,0.378,55.1,55.052,60.5,"54",19.5,19.507,11.8,11.754,
22,22,1.383,0.045,0.553,0.044,,2.42,2.415,0.68,0.676,85.0,85.045,120.0,"145",122.3,122.304,34.2,34.233,
23,23,0.979,0.076,0.558,0.041,,0.95,0.953,0.26,0.264,80.7,80.738,125.67,"54",21.0,20.974,5.8,5.803,
24,24,0.623,0.211,0.244,0.044,,0.42,0.42,0.24,0.239,62.2,62.236,25.0,"54",11.4,11.449,6.5,6.528,
25,25,1.141,0.048,0.0,0.032,,1.38,1.384,1.38,1.384,0.0,0.0,30.0,"145",28.4,28.421,28.4,28.421,
26,26,0.906,0.057,0.11,0.024,,0.81,0.805,0.63,0.625,40.7,40.727,122.5,"54",,,,,
27,27,0.923,0.047,0.533,0.033,,0.84,0.838,0.25,0.245,81.7,81.685,59.0,"54",15.2,15.203,4.5,4.456,
28,28,1.013,0.044,0.1,0.026,,1.03,1.03,0.82,0.818,38.1,38.128,125.0,"145",23.3,23.26,18.5,18.476,
29,29,0.992,0.038,0.696,0.028,,0.98,0.982,0.2,0.198,82.7,82.745,53.0,"54",16.3,16.311,3.3,3.285,
30,30,0.956,0.047,0.088,0.024,,0.9,0.904,0.74,0.738,36.1,36.111,18.5,"54",16.1,16.139,13.2,13.179,
31,31,0.83,0.061,0.234,0.029,,0.68,0.676,0.39,0.394,55.3,55.336,20.37,"54",15.1,15.142,8.8,8.835,
32,32,0.886,0.058,0.115,0.029,,0.77,0.769,0.59,0.59,41.2,41.191,82.5,"54",16.1,16.066,12.3,12.329,
33,33,1.115,0.034,0.211,0.018,,1.3,1.303,0.8,0.802,53.3,53.252,173.63,"54",20.9,20.924,12.9,12.872,
34,34,0.842,0.069,0.403,0.031,,0.7,0.695,0.27,0.275,68.5,68.47,71.15,"54",13.6,13.594,5.4,5.375,
35,35,0.698,0.071,0.187,0.025,,0.5,0.499,0.32,0.324,50.9,50.877,173.5,"54",,,,,
36,36,0.932,0.046,0.087,0.026,,0.86,0.855,0.7,0.7,35.9,35.918,58.18,"54",19.9,19.935,16.3,16.316,
37,37,0.937,0.047,0.387,0.033,,0.86,0.865,0.35,0.355,69.5,69.5,138.0,"54",23.1,23.09,9.5,9.472,
38,38,0.98,0.04,0.48,0.028,,0.95,0.955,0.32,0.316,73.5,73.539,0.4,"54",22.9,22.866,7.6,7.572,
39,39,1.275,0.07,0.4,0.046,,1.88,1.884,0.75,0.75,68.8,68.802,118.0,"54",20.0,20.032,8.0,7.975,
40,40,0.95,0.052,0.505,0.031,,0.89,0.891,0.28,0.279,83.2,83.155,38.67,"54",41.3,41.262,12.9,12.899,
41,41,1.113,0.039,0.22,0.028,,1.3,1.297,0.78,0.782,54.6,54.572,117.0,"54",31.6,31.606,19.0,19.045,
42,42,1.013,0.041,0.651,0.037,,1.03,1.03,0.23,0.23,90.0,90.0,157.01,"54",22.0,22.036,4.9,4.922,
43,43,0.623,0.211,0.074,0.044,,0.42,0.42,0.35,0.354,35.4,35.368,5.0,"54",8.1,8.131,6.9,6.857,
44,44,0.769,0.072,0.23,0.028,,0.59,0.587,0.35,0.346,62.8,62.772,8.0,"54",13.7,13.744,8.1,8.093,
45,45,1.007,0.047,0.144,0.021,,1.02,1.016,0.73,0.729,50.0,49.995,124.0,"54",1.4,1.419,1.0,1.019,
46,46,0.727,0.069,0.288,0.024,,0.53,0.533,0.27,0.275,61.7,61.672,27.5,"54",,,,,
47,47,0.86,0.148,0.141,0.044,,0.72,0.724,0.52,0.524,45.7,45.662,170.0,"54",25.2,25.187,18.2,18.204,
48,48,0.739,0.074,0.28,0.028,,0.55,0.548,0.29,0.288,61.0,60.957,27.5,"54",,,,,
49,49,1.159,0.041,0.166,0.023,,1.44,1.442,0.98,0.984,48.3,48.279,42.41,"54",29.1,29.104,19.9,19.859,
50,50,1.067,0.045,0.144,0.031,,1.17,1.167,0.84,0.838,50.0,49.995,170.0,"54",9.6,9.569,6.9,6.868,
51,51,0.861,0.058,0.396,0.032,,0.73,0.726,0.29,0.292,80.5,80.517,171.0,"54",14.8,14.818,6.0,5.954,
52,52,0.766,0.063,0.193,0.033,,0.58,0.583,0.37,0.374,52.0,52.011,102.5,"54",28.3,28.343,18.2,18.174,
53,53,1.161,0.038,0.032,0.026,,1.45,1.449,1.35,1.346,22.2,22.206,5.0,"145",17.9,17.895,16.6,16.623,
54,54,0.815,0.054,0.113,0.023,,0.65,0.653,0.5,0.504,40.6,40.567,93.32,"54",10.6,10.608,8.2,8.178,
55,55,1.038,0.117,0.106,0.044,,1.09,1.091,0.86,0.855,40.0,40.03,160.0,"54",60.2,60.198,47.2,47.161,
56,56,1.115,0.045,0.194,0.024,,1.3,1.303,0.83,0.834,52.7,52.698,51.12,"54",25.8,25.81,16.5,16.512,
57,57,0.655,0.073,0.05,0.028,,0.45,0.452,0.4,0.403,32.5,32.487,166.0,"54",29.3,29.337,26.1,26.147,
58,58,1.009,0.048,0.684,0.032,,1.02,1.021,0.21,0.211,90.0,90.0,50.2,"54",43.5,43.52,9.0,9.009,
59,59,1.105,0.043,0.102,0.02,,1.27,1.274,1.01,1.007,38.5,38.48,114.4,"54",21.2,21.18,16.7,16.747,
60,60,0.797,0.063,0.293,0.029,,0.63,0.627,0.32,0.319,62.1,62.111,142.03,"54",12.3,12.299,6.3,6.264,
61,61,1.105,0.044,0.07,0.023,,1.27,1.274,1.08,1.084,33.3,33.278,29.46,"54",19.7,19.719,16.8,16.784,
62,62,0.907,0.045,0.163,0.028,,0.81,0.807,0.55,0.555,48.7,48.652,9.8,"54",18.1,18.108,12.4,12.442,
63,63,0.943,0.044,0.554,0.018,,0.88,0.877,0.24,0.245,90.0,90.0,14.0,"54",5.4,5.36,1.5,1.497,
64,64,1.028,0.041,0.57,0.028,,1.07,1.067,0.29,0.287,78.2,78.193,78.0,"54",13.2,13.217,3.6,3.557,
65,65,0.801,0.061,0.095,0.029,,0.63,0.632,0.51,0.508,37.4,37.429,11.5,"54",27.7,27.689,22.2,22.249,
66,66,1.045,0.041,0.128,0.026,,1.11,1.109,0.83,0.826,43.3,43.269,163.65,"54",21.0,20.967,15.6,15.614,
67,67,0.83,0.057,0.163,0.023,,0.68,0.676,0.46,0.465,47.9,47.89,48.5,"54",25.8,25.762,17.7,17.7,
68,68,1.439,0.066,0.048,0.034,,2.75,2.748,2.46,2.46,27.7,27.742,150.0,"145",18.1,18.086,16.2,16.194,
69,69,0.913,0.047,0.038,0.024,,0.82,0.818,0.75,0.75,24.3,24.3,95.0,"145",24.6,24.601,22.5,22.54,
70,70,0.91,0.055,0.13,0.028,,0.81,0.813,0.6,0.603,44.0,43.996,29.0,"54",,,,,
71,71,1.144,0.03,0.799,0.022,,1.39,1.393,0.22,0.221,90.0,90.0,178.0,"54",31.8,31.845,5.1,5.059,
72,72,1.086,0.039,0.215,0.03,,1.22,1.219,0.74,0.743,54.0,54.039,158.66,"54",24.3,24.299,14.8,14.811,
73,73,0.729,0.067,0.12,0.028,,0.54,0.536,0.41,0.406,41.7,41.703,63.5,"54",28.8,28.781,21.8,21.833,
74,74,0.725,0.162,0.146,0.044,,0.53,0.531,0.38,0.379,45.6,45.589,140.0,"54",21.2,21.151,15.1,15.112,
75,75,0.755,0.065,0.208,0.025,,0.57,0.569,0.35,0.352,59.7,59.731,160.5,"54",7.7,7.655,4.7,4.742,
76,76,0.93,0.045,0.161,0.023,,0.85,0.851,0.59,0.587,47.6,47.628,79.5,"54",26.7,26.681,18.4,18.416,
77,77,0.901,0.045,0.18,0.025,,0.8,0.796,0.53,0.526,50.4,50.441,24.0,"54",24.9,24.907,16.5,16.456,
78,78,1.136,0.034,0.596,0.022,,1.37,1.368,0.35,0.347,78.4,78.423,108.74,"54",33.1,33.123,8.4,8.397,
79,79,0.787,0.076,0.036,0.029,,0.61,0.612,0.56,0.564,27.6,27.575,95.0,"145",12.3,12.29,11.3,11.312,
80,80,1.66,0.026,0.258,0.025,,4.57,4.571,2.52,2.523,59.6,59.646,131.0,"54",44.2,44.226,24.4,24.416,
81,81,1.166,0.056,0.556,0.036,,1.47,1.466,0.41,0.407,90.0,90.0,11.96,"54",19.8,19.824,5.5,5.51,
82,82,0.871,0.053,0.239,0.027,,0.74,0.743,0.43,0.429,56.5,56.52,112.64,"54",37.5,37.541,21.7,21.653,
83,83,0.96,0.081,0.084,0.034,,0.91,0.912,0.75,0.752,35.9,35.886,70.0,"54",18.4,18.365,15.1,15.135,
84,84,1.132,0.039,0.145,0.03,,1.36,1.355,0.97,0.971,45.4,45.448,154.5,"54",24.4,24.415,17.5,17.485,
85,85,1.305,0.096,0.012,0.041,,2.02,2.018,1.96,1.963,14.8,14.779,165.0,"1",21.1,21.064,20.5,20.49,
86,86,1.14,0.041,0.116,0.025,,1.38,1.38,1.06,1.057,41.4,41.356,94.19,"54",28.8,28.754,22.0,22.014,
87,87,0.994,0.074,0.48,0.038,,0.99,0.986,0.33,0.327,77.6,77.567,24.67,"54",21.5,21.542,7.1,7.133,
88,88,1.04,0.035,0.348,0.027,,1.1,1.096,0.49,0.492,65.8,65.845,75.0,"54",21.4,21.419,9.6,9.612,
89,89,1.39,0.032,0.067,0.037,,2.45,2.455,2.1,2.104,40.3,40.341,26.0,"54",16.6,16.632,14.3,14.255,
90,90,0.903,0.052,0.15,0.028,,0.8,0.8,0.57,0.566,46.5,46.5,11.0,"54",15.3,15.334,10.9,10.856,
91,91,1.04,0.042,0.274,0.031,,1.1,1.096,0.58,0.583,59.8,59.822,75.0,"54",21.0,21.003,11.2,11.176,
92,92,0.799,0.064,0.05,0.028,,0.63,0.63,0.56,0.561,31.0,31.006,99.0,"54",12.2,12.183,10.9,10.858,
93,93,0.765,0.066,0.15,0.028,,0.58,0.582,0.41,0.412,75.5,75.481,137.5,"54",30.3,30.315,21.5,21.461,
94,94,1.078,0.039,0.4,0.023,,1.2,1.197,0.48,0.476,69.5,69.491,154.17,"54",22.6,22.563,9.0,8.982,
95,95,1.188,0.042,0.962,0.038,,1.54,1.542,0.17,0.168,90.0,90.0,126.17,"54",26.7,26.702,2.9,2.914,
96,96,1.571,0.027,0.161,0.022,,3.72,3.724,2.57,2.57,47.6,47.628,24.0,"54",22.0,22.04,15.2,15.213,
97,97,0.937,0.048,0.026,0.025,,0.86,0.865,0.81,0.815,20.1,20.059,105.0,"145",31.9,31.874,30.0,30.022,
98,98,0.75,0.111,0.31,0.045,,0.56,0.562,0.28,0.275,73.6,73.569,168.0,"54",10.6,10.583,5.2,5.184,
99,99,0.709,0.188,0.244,0.044,,0.51,0.512,0.29,0.292,90.0,90.0,50.0,"54",18.9,18.852,10.7,10.749,
100,100,0.888,0.052,0.046,0.023,,0.77,0.773,0.7,0.695,26.5,26.494,152.0,"54",19.9,19.947,17.9,17.942,
101,101,0.558,0.238,0.025,0.044,,0.36,0.361,0.34,0.341,23.0,22.99,55.0,"145",8.3,8.348,7.9,7.881,
102,102,0.72,0.071,0.153,0.035,,0.52,0.525,0.37,0.369,46.9,46.917,51.93,"54",10.2,10.165,7.1,7.147,
103,103,1.49,0.026,0.251,0.022,,3.09,3.09,1.73,1.734,57.7,57.691,157.01,"54",18.4,18.416,10.3,10.332,
104,104,1.052,0.042,0.684,0.023,,1.13,1.127,0.23,0.233,87.3,87.307,74.67,"54",46.2,46.16,9.6,9.556,
105,105,2.03,0.017,0.27,0.031,,10.72,10.715,5.75,5.754,59.1,59.141,104.65,"54",28.7,28.676,15.4,15.4,
106,106,0.767,0.073,0.121,0.037,,0.58,0.585,0.44,0.443,42.2,42.167,87.5,"54",21.3,21.328,16.1,16.142,
107,107,1.013,0.041,0.557,0.023,,1.03,1.03,0.29,0.286,80.7,80.671,142.5,"54",13.1,13.087,3.6,3.629,
108,108,0.924,0.049,0.52,0.028,,0.84,0.839,0.25,0.254,90.0,90.0,74.67,"54",16.8,16.776,5.1,5.066,
109,109,1.492,0.029,0.362,0.046,,3.1,3.105,1.35,1.349,68.0,67.968,144.25,"54",9.3,9.302,4.0,4.042,
110,110,1.177,0.1,0.437,0.044,,1.5,1.503,0.55,0.55,90.0,90.0,25.0,"54",37.0,36.992,13.5,13.524,
111,111,0.776,0.061,0.054,0.025,,0.6,0.597,0.53,0.527,36.1,36.122,159.0,"54",12.6,12.561,11.1,11.092,
112,112,1.715,0.02,0.726,0.032,,5.19,5.188,0.97,0.975,90.0,90.0,131.75,"54",16.1,16.148,3.0,3.035,
113,113,1.026,0.072,0.577,0.036,,1.06,1.062,0.28,0.281,79.9,79.916,123.0,"54",26.2,26.236,6.9,6.949,
114,114,0.995,0.122,0.174,0.044,,0.99,0.989,0.66,0.662,61.6,61.562,110.0,"54",31.5,31.538,21.1,21.126,
115,115,1.062,0.052,0.165,0.041,,1.15,1.153,0.79,0.789,48.2,48.15,23.77,"54",22.8,22.824,15.6,15.61,
116,116,1.042,0.044,0.134,0.022,,1.1,1.102,0.81,0.809,44.2,44.183,97.23,"54",17.1,17.111,12.6,12.568,
117,117,1.051,0.159,0.57,0.078,,1.12,1.125,0.3,0.303,85.4,85.375,20.0,"54",27.7,27.677,7.4,7.449,
118,118,0.799,0.195,0.224,0.044,,0.63,0.63,0.38,0.376,71.8,71.824,90.0,"54",19.6,19.609,11.7,11.707,
119,119,1.076,0.059,0.59,0.044,,1.19,1.191,0.31,0.306,79.2,79.174,82.5,"54",27.4,27.374,7.0,7.036,
120,120,1.108,0.05,0.206,0.023,,1.28,1.282,0.8,0.798,57.5,57.472,150.66,"54",33.6,33.62,20.9,20.922,
121,121,1.472,0.03,0.102,0.031,,2.96,2.965,2.34,2.344,42.3,42.341,25.0,"54",6.7,6.727,5.3,5.319,
122,122,0.86,0.058,0.215,0.032,,0.72,0.724,0.44,0.442,54.0,54.039,66.4,"54",19.5,19.511,11.9,11.892,
123,123,1.264,0.031,0.184,0.028,,1.84,1.837,1.2,1.202,51.5,51.477,21.5,"54",41.7,41.682,27.3,27.287,
124,124,0.727,0.191,0.323,0.044,,0.53,0.533,0.25,0.254,87.9,87.903,65.0,"54",14.4,14.388,6.8,6.839,
125,125,0.779,0.168,0.314,0.044,,0.6,0.601,0.29,0.292,70.4,70.35,70.0,"54",16.5,16.508,8.0,8.011,
126,126,0.817,0.06,0.188,0.027,,0.66,0.656,0.43,0.426,53.0,52.974,106.5,"54",29.6,29.579,19.2,19.186,
127,127,0.847,0.12,0.116,0.044,,0.7,0.703,0.54,0.538,61.9,61.859,15.0,"54",20.8,20.784,15.9,15.912,
128,128,0.959,0.078,0.0,0.032,,0.91,0.91,0.91,0.91,0.0,0.0,40.0,"145",23.1,23.077,23.1,23.077,
129,129,0.991,0.062,0.293,0.024,,0.98,0.979,0.5,0.499,63.0,62.953,44.45,"54",35.1,35.071,17.9,17.863,
130,130,1.119,0.039,0.449,0.027,,1.32,1.315,0.47,0.468,75.3,75.302,32.34,"54",32.4,32.375,11.5,11.514,
131,131,0.86,0.054,0.038,0.023,,0.72,0.724,0.66,0.664,24.1,24.148,115.0,"145",22.7,22.687,20.8,20.786,
132,132,0.876,0.058,0.036,0.029,,0.75,0.752,0.69,0.692,23.5,23.52,50.0,"145",21.2,21.201,19.5,19.514,
133,133,0.936,0.049,0.219,0.027,,0.86,0.863,0.52,0.521,54.5,54.466,173.0,"54",23.0,22.988,13.9,13.884,
134,134,1.012,0.042,0.123,0.033,,1.03,1.028,0.77,0.774,42.5,42.486,106.0,"54",20.4,20.441,15.4,15.4,
135,135,1.017,0.041,0.17,0.037,,1.04,1.04,0.7,0.703,49.2,49.18,6.74,"54",21.0,20.969,14.2,14.177,
