ID_Galaxia,cig,ANG_SIZE_MAJ_log,ANG_SIZE_MAJ_original
2,2,0.72,5.248074602497725
3,3,0.4,2.51188643150958
4,4,3.29,1949.8445997580454
5,5,0.73,5.370317963702527
6,6,0.7,5.011872336272722
7,7,0.69,4.897788193684462
8,8,0.75,5.623413251903491
9,9,0.91,8.128305161640993
10,10,1.05,11.220184543019636
11,11,1.57,37.15352290971726
12,12,0.84,6.918309709189364
13,13,1.39,24.547089156850298
14,14,0.93,8.511380382023766
15,15,0.7,5.011872336272722
16,16,0.6,3.9810717055349722
17,17,0.97,9.33254300796991
18,18,0.71,5.1286138399136485
19,19,1.1,12.589254117941675
20,20,0.96,9.120108393559097
21,21,0.63,4.265795188015927
22,22,2.42,263.02679918953817
23,23,0.95,8.912509381337454
24,24,0.42,2.6302679918953817
25,25,1.38,23.9883291901949
26,26,0.81,6.456542290346556
27,27,0.84,6.918309709189364
28,28,1.03,10.715193052376065
29,29,0.98,9.549925860214358
30,30,0.9,7.943282347242816
31,31,0.68,4.786300923226384
32,32,0.77,5.88843655355589
33,33,1.3,19.952623149688797
34,34,0.7,5.011872336272722
35,35,0.5,3.1622776601683795
36,36,0.86,7.244359600749901
37,37,0.86,7.244359600749901
38,38,0.95,8.912509381337454
39,39,1.88,75.85775750291836
40,40,0.89,7.762471166286917
41,41,1.3,19.952623149688797
42,42,1.03,10.715193052376065
43,43,0.42,2.6302679918953817
44,44,0.59,3.890451449942806
45,45,1.02,10.471285480508996
46,46,0.53,3.3884415613920256
47,47,0.72,5.248074602497725
48,48,0.55,3.548133892335755
49,49,1.44,27.542287033381662
50,50,1.17,14.791083881682072
51,51,0.73,5.370317963702527
52,52,0.58,3.8018939632056115
53,53,1.45,28.183829312644534
54,54,0.65,4.466835921509632
55,55,1.09,12.302687708123818
56,56,1.3,19.952623149688797
57,57,0.45,2.8183829312644537
58,58,1.02,10.471285480508996
59,59,1.27,18.620871366628677
60,60,0.63,4.265795188015927
61,61,1.27,18.620871366628677
62,62,0.81,6.456542290346556
63,63,0.88,7.5857757502918375
64,64,1.07,11.748975549395297
65,65,0.63,4.265795188015927
66,66,1.11,12.882495516931343
67,67,0.68,4.786300923226384
68,68,2.75,562.341325190349
69,69,0.82,6.606934480075959
70,70,0.81,6.456542290346556
