Imagen,cig,Phase 2 clasiffication,explicación clasificación1,clasificación1,Indice,imagen_rotada,explicación clasificación2,clasificación_2
"[[[ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [ 0  1  5]
  [ 0  1  5]
  [ 0  1  5]]

 [[ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [ 0  1  5]
  [ 0  1  5]
  [ 0  1  5]]

 [[ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [ 0  1  3]
  [ 0  1  3]
  [ 0  1  3]]

 ...

 [[11  2  5]
  [ 9  3  5]
  [11  2  5]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]

 [[12  1  5]
  [11  2  5]
  [12  1  5]
  ...
  [ 0  0  4]
  [ 0  0  4]
  [ 0  0  4]]

 [[12  1  5]
  [12  1  5]
  [12  1  5]
  ...
  [ 0  0  4]
  [ 0  0  4]
  [ 0  0  4]]]",1, SA(rs)bc                                                                                             ,espiral,0,,,espiral no barrada,0
"[[[4 2 3]
  [4 2 3]
  [3 1 2]
  ...
  [5 1 0]
  [7 1 1]
  [8 2 2]]

 [[4 2 3]
  [4 2 3]
  [3 1 2]
  ...
  [6 2 1]
  [7 1 1]
  [8 2 2]]

 [[4 2 3]
  [4 2 3]
  [3 1 2]
  ...
  [6 2 1]
  [8 2 2]
  [9 3 3]]

 ...

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [2 4 1]
  [0 5 0]
  [0 5 0]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [3 5 2]
  [0 5 0]
  [0 5 0]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [3 5 2]
  [0 5 0]
  [0 5 0]]]",12, Sb: spw pec                                                                                          ,espiral,0,,,espiral barra indeterminada,4
"[[[ 3  0  0]
  [ 3  0  0]
  [ 1  0  0]
  ...
  [14 10  9]
  [ 7  6  4]
  [ 4  3  1]]

 [[ 3  0  0]
  [ 3  0  0]
  [ 1  0  0]
  ...
  [14 10  9]
  [ 7  6  4]
  [ 4  3  1]]

 [[ 3  0  0]
  [ 3  0  0]
  [ 1  0  0]
  ...
  [14 10  9]
  [ 8  7  5]
  [ 4  4  2]]

 ...

 [[ 6  1  0]
  [ 6  1  0]
  [ 5  1  0]
  ...
  [ 2  0  1]
  [ 3  1  2]
  [ 3  1  2]]

 [[ 4  0  0]
  [ 5  0  0]
  [ 4  0  0]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 3  1  2]]

 [[ 4  0  0]
  [ 4  0  0]
  [ 4  0  1]
  ...
  [ 1  0  0]
  [ 2  0  1]
  [ 2  0  1]]]",145, Sa sp / E6 pec                                                                                       ,espiral,0,,,espiral barra indeterminada,4
"[[[  3   0   0]
  [  5   1   2]
  [  7   3   4]
  ...
  [158  55  58]
  [157  56  62]
  [158  57  63]]

 [[  3   0   0]
  [  4   0   1]
  [  7   3   4]
  ...
  [158  55  58]
  [157  56  60]
  [158  57  63]]

 [[  3   0   0]
  [  4   0   1]
  [  7   3   4]
  ...
  [159  56  59]
  [158  57  61]
  [158  59  62]]

 ...

 [[  4   2   3]
  [  4   2   3]
  [  5   3   4]
  ...
  [  8   8   8]
  [  9   9   9]
  [  9   9   9]]

 [[  3   1   2]
  [  4   2   3]
  [  4   2   3]
  ...
  [  6   6   6]
  [  7   7   7]
  [  8   8   8]]

 [[  3   1   2]
  [  4   2   3]
  [  4   2   3]
  ...
  [  5   5   5]
  [  6   6   6]
  [  7   7   7]]]",146, SB(s)cd                                                                                              ,espiral,0,,,espiral barrada,1
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [7 1 1]
  [7 1 1]
  [7 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [7 1 1]
  [7 1 1]
  [7 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [6 0 0]
  [6 0 0]
  [6 0 0]]

 ...

 [[4 4 4]
  [4 4 4]
  [5 5 5]
  ...
  [2 2 0]
  [2 2 0]
  [3 3 1]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [2 3 0]
  [3 4 0]
  [3 4 0]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [2 3 0]
  [3 4 0]
  [4 5 0]]]",156, SA_B(rs)c                                                                           ,espiral,0,,,espiral barrada intermedia,2
"[[[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]

 [[1 0 0]
  [1 0 0]
  [2 0 1]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]

 [[1 0 0]
  [1 0 0]
  [2 0 1]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]

 ...

 [[0 2 1]
  [1 3 2]
  [3 3 3]
  ...
  [7 6 4]
  [7 6 4]
  [7 6 4]]

 [[1 3 2]
  [2 4 3]
  [3 5 4]
  ...
  [9 8 6]
  [8 7 5]
  [8 7 5]]

 [[2 4 3]
  [3 5 4]
  [4 6 5]
  ...
  [9 8 6]
  [9 8 6]
  [8 7 5]]]",149, SB(rs)ab                                                                                             ,espiral,0,,,espiral barrada,1
"[[[11  1  0]
  [11  1  0]
  [12  2  1]
  ...
  [ 2  0  1]
  [ 1  0  0]
  [ 1  0  0]]

 [[11  1  0]
  [11  1  0]
  [12  2  1]
  ...
  [ 3  1  2]
  [ 2  0  1]
  [ 1  0  0]]

 [[11  1  0]
  [11  1  0]
  [11  1  0]
  ...
  [ 5  3  4]
  [ 3  1  2]
  [ 2  0  1]]

 ...

 [[10  2 13]
  [10  3 11]
  [10  3 11]
  ...
  [ 4  2  3]
  [ 5  3  4]
  [ 6  4  5]]

 [[ 8  2 12]
  [ 8  3 10]
  [ 9  2 10]
  ...
  [ 5  3  4]
  [ 7  5  6]
  [ 8  6  7]]

 [[ 8  2 12]
  [ 8  3 10]
  [ 9  2 10]
  ...
  [ 6  4  5]
  [ 8  6  7]
  [ 9  7  8]]]",158, SA(rs)b                                                                                              ,espiral,0,,,espiral no barrada,0
"[[[11  6 12]
  [11  6 12]
  [10  5 11]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[11  6 12]
  [10  5 11]
  [10  5 11]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[11  6 10]
  [10  5  9]
  [10  5  9]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 5  9  8]
  [ 6 10  9]
  [ 8 10  9]
  ...
  [93 42 23]
  [92 41 22]
  [92 41 22]]

 [[ 4  8  7]
  [ 5  9  8]
  [ 7  9  8]
  ...
  [94 43 24]
  [93 42 23]
  [92 41 22]]

 [[ 4  8  7]
  [ 4  8  7]
  [ 7  9  8]
  ...
  [95 44 25]
  [93 42 23]
  [92 41 22]]]",181, SA_B(rs)bc pec                                                                      ,espiral,0,,,espiral barrada intermedia,2
"[[[ 0  0  0]
  [ 1  1  0]
  [ 2  2  0]
  ...
  [ 0  2  0]
  [ 0  2  0]
  [ 0  2  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 1  1  0]
  ...
  [ 0  3  0]
  [ 0  3  0]
  [ 0  3  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 1  1  0]
  ...
  [ 1  3  0]
  [ 1  3  0]
  [ 1  3  0]]

 ...

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [16 16 14]
  [15 13 14]
  [14 12 13]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [18 19 14]
  [17 16 14]
  [16 15 13]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [19 20 15]
  [18 17 15]
  [17 16 14]]]",187, SAB(s)bc                                                                                             ,espiral,0,,,espiral barrada intermedia,2
"[[[ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 3  1  2]
  [ 3  1  2]
  [ 3  1  2]
  ...
  [15 15  7]
  [16 13  6]
  [16 13  6]]

 [[ 3  1  2]
  [ 3  1  2]
  [ 3  1  2]
  ...
  [12 12  4]
  [13 10  3]
  [13 10  3]]

 [[ 3  1  2]
  [ 3  1  2]
  [ 3  1  2]
  ...
  [10 10  2]
  [12  9  2]
  [12  9  2]]]",186, S_AB(s)a                                                                            ,espiral,0,,,espiral barrada intermedia,2
"[[[22 13  4]
  [22 13  4]
  [21 12  3]
  ...
  [ 4  6  3]
  [ 1  6  2]
  [ 1  6  2]]

 [[23 14  5]
  [22 13  4]
  [22 13  4]
  ...
  [ 4  6  3]
  [ 4  6  3]
  [ 1  6  2]]

 [[24 15  6]
  [23 14  5]
  [23 14  5]
  ...
  [ 6  6  4]
  [ 5  5  3]
  [ 4  6  3]]

 ...

 [[65 54 22]
  [66 55 23]
  [69 56 24]
  ...
  [ 7 14  7]
  [ 9 16  9]
  [ 8 18 10]]

 [[67 58 27]
  [68 59 28]
  [70 59 27]
  ...
  [ 7 14  6]
  [ 8 15  7]
  [ 7 17  8]]

 [[69 60 29]
  [70 61 30]
  [72 61 29]
  ...
  [ 6 13  5]
  [ 8 15  7]
  [ 7 17  8]]]",189, E2                                                                                                   ,elíptica,1,,,elíptica,6
"[[[6 0 2]
  [7 1 3]
  [8 2 4]
  ...
  [7 3 4]
  [6 2 3]
  [5 1 2]]

 [[6 0 2]
  [7 1 3]
  [8 2 4]
  ...
  [8 4 5]
  [7 3 4]
  [6 2 3]]

 [[5 1 2]
  [6 2 3]
  [7 3 4]
  ...
  [9 5 6]
  [7 3 4]
  [7 3 4]]

 ...

 [[3 3 3]
  [3 3 3]
  [4 4 4]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[4 4 4]
  [4 4 4]
  [5 5 5]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[5 5 5]
  [5 5 5]
  [5 5 5]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",13, E3-4                                                                                                 ,elíptica,1,,,elíptica,6
"[[[11  3  1]
  [11  3  1]
  [10  2  0]
  ...
  [13  0  0]
  [13  0  0]
  [12  0  0]]

 [[13  5  3]
  [12  4  2]
  [11  3  1]
  ...
  [14  0  0]
  [13  0  0]
  [13  0  0]]

 [[16  6  5]
  [16  6  5]
  [13  5  3]
  ...
  [14  0  0]
  [14  0  0]
  [14  0  0]]

 ...

 [[12  1  9]
  [12  1  9]
  [12  1  7]
  ...
  [ 7  7  7]
  [ 8  8  8]
  [ 9  9  9]]

 [[10  0  7]
  [11  0  8]
  [11  0  6]
  ...
  [ 4  4  4]
  [ 5  5  5]
  [ 5  5  5]]

 [[ 9  0  6]
  [10  0  7]
  [10  0  5]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]]",194, SB(s)d sp / E7                                                                                       ,espiral,0,,,espiral barrada,1
"[[[ 5  1  0]
  [ 5  1  0]
  [ 5  1  0]
  ...
  [ 0  2  0]
  [ 1  3  0]
  [ 2  4  1]]

 [[ 5  1  0]
  [ 5  1  0]
  [ 5  1  0]
  ...
  [ 1  3  0]
  [ 1  3  0]
  [ 2  4  1]]

 [[ 5  1  0]
  [ 5  1  0]
  [ 5  1  0]
  ...
  [ 1  3  0]
  [ 2  4  1]
  [ 3  5  2]]

 ...

 [[ 8  8  6]
  [ 8  8  6]
  [ 7  9  6]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[10 10  8]
  [ 9  9  7]
  [ 8 10  7]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[11 11  9]
  [10 10  8]
  [ 9 11  8]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",195, (R_1')SAB(_rs)a                                                           ,espiral,0,,,espiral barrada intermedia,2
"[[[4 4 4]
  [5 5 5]
  [5 5 5]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[3 3 3]
  [4 4 4]
  [5 5 5]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[2 2 2]
  [3 3 3]
  [4 4 4]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[6 6 6]
  [6 6 6]
  [5 5 5]
  ...
  [1 6 2]
  [0 5 1]
  [0 4 0]]

 [[7 7 7]
  [6 6 6]
  [5 5 5]
  ...
  [0 4 0]
  [0 3 0]
  [0 3 0]]

 [[7 7 7]
  [6 6 6]
  [5 5 5]
  ...
  [0 4 0]
  [0 3 0]
  [0 2 0]]]",198," SA(s,nb)c pec                                                                                        ",espiral,0,,,espiral no barrada,0
"[[[ 3  8  4]
  [ 2  7  3]
  [ 2  4  1]
  ...
  [ 6  2  3]
  [ 8  2  4]
  [ 8  2  4]]

 [[ 4  9  5]
  [ 3  8  4]
  [ 3  5  2]
  ...
  [ 6  2  3]
  [ 8  2  4]
  [ 8  2  4]]

 [[ 6 11  7]
  [ 4  9  5]
  [ 4  6  3]
  ...
  [ 6  2  3]
  [ 8  2  4]
  [ 8  2  4]]

 ...

 [[ 5  1  0]
  [ 5  1  0]
  [ 4  0  0]
  ...
  [ 6  2  3]
  [ 6  2  3]
  [ 7  3  4]]

 [[ 5  1  0]
  [ 5  1  0]
  [ 4  0  0]
  ...
  [ 4  0  1]
  [ 5  1  2]
  [ 6  2  3]]

 [[ 5  1  0]
  [ 5  1  0]
  [ 4  0  0]
  ...
  [ 3  0  0]
  [ 4  0  1]
  [ 5  1  2]]]",196, SAB:(s)d sp                                                                                          ,espiral,0,,,espiral barrada intermedia,2
"[[[9 2 9]
  [8 1 8]
  [7 1 5]
  ...
  [9 4 1]
  [8 3 0]
  [8 3 0]]

 [[8 1 8]
  [8 2 6]
  [7 1 5]
  ...
  [9 4 1]
  [8 3 0]
  [8 3 0]]

 [[7 1 5]
  [7 1 5]
  [7 1 5]
  ...
  [9 3 3]
  [8 2 2]
  [8 2 2]]

 ...

 [[3 0 0]
  [4 0 0]
  [6 2 1]
  ...
  [2 2 2]
  [3 3 3]
  [4 4 4]]

 [[3 0 0]
  [5 1 0]
  [7 3 2]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[4 0 0]
  [5 1 0]
  [8 4 3]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",199, (R')S_AB(s)bc                                                             ,espiral,0,,,espiral barrada intermedia,2
"[[[5 6 1]
  [5 6 1]
  [5 6 1]
  ...
  [1 5 8]
  [1 5 8]
  [2 6 9]]

 [[5 6 1]
  [5 6 1]
  [5 6 1]
  ...
  [0 4 7]
  [0 4 7]
  [0 4 7]]

 [[5 6 1]
  [5 6 1]
  [5 6 1]
  ...
  [1 2 4]
  [0 1 3]
  [0 1 3]]

 ...

 [[5 3 4]
  [5 3 4]
  [4 2 3]
  ...
  [2 2 0]
  [3 3 1]
  [4 4 2]]

 [[7 5 6]
  [6 4 5]
  [6 4 5]
  ...
  [2 2 0]
  [3 3 1]
  [4 4 2]]

 [[8 6 7]
  [7 5 6]
  [7 5 6]
  ...
  [2 2 0]
  [3 3 1]
  [4 4 2]]]",200," SB(rs,bl)bc                                                                                          ",espiral,0,,,espiral barrada,1
"[[[ 5  5  5]
  [ 5  5  5]
  [ 7  7  7]
  ...
  [ 2  0  1]
  [ 3  1  2]
  [ 3  1  2]]

 [[ 4  4  4]
  [ 5  5  5]
  [ 6  6  6]
  ...
  [ 2  0  1]
  [ 3  1  2]
  [ 3  1  2]]

 [[ 4  4  4]
  [ 5  5  5]
  [ 6  6  6]
  ...
  [ 2  0  1]
  [ 3  1  2]
  [ 3  1  2]]

 ...

 [[ 8  7  5]
  [ 8  7  5]
  [ 9  5  4]
  ...
  [11  2  5]
  [11  2  5]
  [11  2  5]]

 [[ 9  8  6]
  [ 8  7  5]
  [ 9  5  4]
  ...
  [11  2  5]
  [11  2  5]
  [11  2  5]]

 [[ 9  8  6]
  [ 8  7  5]
  [10  6  5]
  ...
  [11  2  5]
  [11  2  5]
  [11  2  5]]]",201, SA(rs)c sp                                                                                           ,espiral,0,,,espiral no barrada,0
"[[[ 3  3 11]
  [ 4  4 12]
  [ 5  5 13]
  ...
  [ 6  0  2]
  [ 7  1  3]
  [ 7  1  3]]

 [[ 3  3 11]
  [ 4  4 12]
  [ 5  5 13]
  ...
  [ 6  0  2]
  [ 6  0  2]
  [ 7  1  3]]

 [[ 3  3 11]
  [ 4  4 12]
  [ 4  5 10]
  ...
  [ 5  1  2]
  [ 5  1  2]
  [ 6  2  3]]

 ...

 [[ 0  3  0]
  [ 0  3  0]
  [ 1  3  0]
  ...
  [ 1  1  0]
  [ 0  2  0]
  [ 0  2  0]]

 [[ 0  4  0]
  [ 0  4  0]
  [ 1  3  0]
  ...
  [ 0  2  0]
  [ 0  2  0]
  [ 0  2  0]]

 [[ 0  4  0]
  [ 0  4  0]
  [ 1  3  0]
  ...
  [ 0  2  0]
  [ 0  2  0]
  [ 0  2  0]]]",203, SAB(s)cd                                                                                             ,espiral,0,,,espiral barrada intermedia,2
"[[[13 11 22]
  [12 10 21]
  [12 11 19]
  ...
  [ 3  2  0]
  [ 5  1  0]
  [ 6  2  0]]

 [[11  9 20]
  [11 10 18]
  [11 10 18]
  ...
  [ 4  3  1]
  [ 6  2  0]
  [ 6  2  0]]

 [[11  8 17]
  [10  7 16]
  [10  7 16]
  ...
  [ 5  4  2]
  [ 7  3  0]
  [ 7  3  0]]

 ...

 [[ 9  0  3]
  [ 9  0  3]
  [ 9  0  3]
  ...
  [12  6  6]
  [12  6  6]
  [12  6  6]]

 [[ 6  0  2]
  [ 6  0  2]
  [ 7  1  3]
  ...
  [13  7  7]
  [13  7  7]
  [13  7  7]]

 [[ 6  0  2]
  [ 6  0  2]
  [ 5  1  2]
  ...
  [14  8  8]
  [14  8  8]
  [14  8  8]]]",204," (R')SA(_rs,bl)b                                                           ",espiral,0,,,espiral no barrada,0
"[[[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 7  2  0]
  [ 8  3  0]
  [ 9  4  0]
  ...
  [ 9  4 11]
  [10  2 13]
  [ 9  1 12]]

 [[ 6  1  0]
  [ 6  1  0]
  [ 7  2  0]
  ...
  [ 7  4 13]
  [ 9  3 13]
  [ 8  2 12]]

 [[ 5  0  0]
  [ 6  1  0]
  [ 7  2  0]
  ...
  [ 7  4 13]
  [ 9  3 13]
  [ 8  2 12]]]",205, SA(s)c                                                                                               ,espiral,0,,,espiral no barrada,0
