Indice,Imagen_auto_scale,cig,Phase 2 clasiffication,explicación clasificación1,clasificación1,imagen_rotada,explicación clasificación2,clasificación_2
0,"[[[3 2 0]
  [2 1 0]
  [4 0 0]
  ...
  [1 2 0]
  [1 2 0]
  [2 3 0]]

 [[3 2 0]
  [3 2 0]
  [4 0 0]
  ...
  [1 2 0]
  [1 2 0]
  [2 3 0]]

 [[6 2 0]
  [5 1 0]
  [4 0 0]
  ...
  [1 1 0]
  [1 1 0]
  [2 2 0]]

 ...

 [[3 3 1]
  [3 3 1]
  [3 3 1]
  ...
  [4 4 4]
  [4 4 4]
  [5 5 5]]

 [[3 4 0]
  [3 4 0]
  [2 3 0]
  ...
  [4 4 4]
  [5 5 5]
  [5 5 5]]

 [[3 4 0]
  [3 4 0]
  [2 3 0]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]]",1, SA(rs)bc                                                                                             ,espiral,0,,espiral no barrada,0
9,"[[[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [0 3 2]
  [0 3 2]
  [0 3 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [0 3 2]
  [0 3 2]
  [0 3 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [0 4 3]
  [0 4 3]
  [0 4 3]]

 ...

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [0 0 2]
  [0 0 2]
  [0 0 2]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [0 0 2]
  [0 0 2]
  [0 0 2]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [0 0 2]
  [0 0 2]
  [0 0 2]]]",12, Sb: spw pec                                                                                          ,espiral,0,,espiral barra indeterminada,4
99,"[[[12  2  3]
  [11  1  2]
  [ 9  0  0]
  ...
  [22  3  7]
  [23  4  8]
  [25  6 10]]

 [[12  2  3]
  [10  1  2]
  [ 9  0  0]
  ...
  [21  2  6]
  [21  2  6]
  [22  3  7]]

 [[11  2  3]
  [ 8  2  2]
  [ 8  0  0]
  ...
  [18  2  5]
  [17  1  4]
  [17  1  4]]

 ...

 [[21  6  1]
  [17  4  0]
  [18  5  0]
  ...
  [ 0  2  0]
  [ 1  1  1]
  [ 1  1  1]]

 [[22  7  0]
  [19  6  0]
  [21  8  0]
  ...
  [ 1  3  2]
  [ 2  2  2]
  [ 3  3  3]]

 [[23  9  0]
  [21  8  0]
  [23 10  1]
  ...
  [ 2  4  3]
  [ 3  3  3]
  [ 5  5  5]]]",145, Sa sp / E6 pec                                                                                       ,espiral,0,,espiral barra indeterminada,4
100,"[[[ 9  9  9]
  [ 9  9  9]
  [ 8  8  8]
  ...
  [ 7  6  4]
  [ 8  7  5]
  [ 8  7  5]]

 [[ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]
  ...
  [ 7  6  4]
  [ 8  7  5]
  [ 8  7  5]]

 [[10 10 10]
  [10 10 10]
  [ 9  9  9]
  ...
  [ 7  6  4]
  [ 8  7  5]
  [ 8  7  5]]

 ...

 [[ 4  3  1]
  [ 3  2  0]
  [ 2  1  0]
  ...
  [ 6  6  6]
  [ 6  6  6]
  [ 5  5  5]]

 [[ 4  3  1]
  [ 3  2  0]
  [ 2  1  0]
  ...
  [ 6  6  6]
  [ 6  6  6]
  [ 5  5  5]]

 [[ 4  3  1]
  [ 3  2  0]
  [ 2  1  0]
  ...
  [ 6  6  6]
  [ 6  6  6]
  [ 5  5  5]]]",146, SB(s)cd                                                                                              ,espiral,0,,espiral barrada,1
102,"[[[ 7  3  4]
  [ 7  3  4]
  [ 7  3  4]
  ...
  [10  4  4]
  [11  5  5]
  [11  5  5]]

 [[ 7  3  4]
  [ 7  3  4]
  [ 7  3  4]
  ...
  [10  4  4]
  [11  5  5]
  [11  5  5]]

 [[ 7  3  4]
  [ 7  3  4]
  [ 7  3  4]
  ...
  [11  5  5]
  [11  5  5]
  [11  5  5]]

 ...

 [[16 11  8]
  [16 11  8]
  [16 11  8]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[16 11  8]
  [17 12  9]
  [17 12  9]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[17 12  9]
  [17 12  9]
  [17 12  9]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]]",156, SA_B(rs)c                                                                           ,espiral,0,,espiral barrada intermedia,2
101,"[[[ 5  3  4]
  [ 5  3  4]
  [ 5  3  4]
  ...
  [12 10 11]
  [12 10 11]
  [12 10 11]]

 [[ 5  3  4]
  [ 5  3  4]
  [ 5  3  4]
  ...
  [11  9 10]
  [12 10 11]
  [12 10 11]]

 [[ 5  3  4]
  [ 5  3  4]
  [ 5  3  4]
  ...
  [11  9 10]
  [11  9 10]
  [12 10 11]]

 ...

 [[ 6  4  7]
  [ 6  4  7]
  [ 6  4  7]
  ...
  [ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]]

 [[ 6  4  9]
  [ 6  4  9]
  [ 6  4  9]
  ...
  [ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]]

 [[ 6  4  9]
  [ 6  4  9]
  [ 6  4  9]
  ...
  [ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]]]",149, SB(rs)ab                                                                                             ,espiral,0,,espiral barrada,1
103,"[[[11  2  3]
  [11  2  3]
  [11  2  3]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]]

 [[11  2  3]
  [11  2  3]
  [11  2  3]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]]

 [[11  2  3]
  [11  2  3]
  [11  2  3]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]]

 ...

 [[ 3  0  0]
  [ 3  0  0]
  [ 3  0  0]
  ...
  [ 6  6  4]
  [ 6  6  4]
  [ 5  5  3]]

 [[ 3  0  0]
  [ 3  0  0]
  [ 3  0  0]
  ...
  [ 5  5  3]
  [ 5  5  3]
  [ 4  4  2]]

 [[ 3  0  0]
  [ 3  0  0]
  [ 3  0  0]
  ...
  [ 5  5  3]
  [ 4  4  2]
  [ 4  4  2]]]",158, SA(rs)b                                                                                              ,espiral,0,,espiral no barrada,0
104,"[[[15  0  3]
  [15  0  3]
  [15  0  3]
  ...
  [ 7  2  8]
  [ 7  2  8]
  [ 7  2  8]]

 [[15  0  3]
  [15  0  3]
  [15  0  3]
  ...
  [ 7  2  8]
  [ 7  2  8]
  [ 7  2  8]]

 [[15  0  3]
  [15  0  3]
  [13  1  3]
  ...
  [ 8  2  6]
  [ 8  2  6]
  [ 8  2  6]]

 ...

 [[ 8  2  2]
  [ 8  2  2]
  [ 7  3  2]
  ...
  [ 6  8  7]
  [ 7  9  8]
  [ 7  9  8]]

 [[ 8  2  2]
  [ 8  2  2]
  [ 7  3  2]
  ...
  [ 7  9  8]
  [ 8 10  9]
  [ 8 10  9]]

 [[ 8  2  2]
  [ 8  2  2]
  [ 7  3  2]
  ...
  [ 7  9  8]
  [ 8 10  9]
  [ 9 11 10]]]",181, SA_B(rs)bc pec                                                                      ,espiral,0,,espiral barrada intermedia,2
106,"[[[12  2 10]
  [13  3 11]
  [12  5 12]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]]

 [[12  2 10]
  [12  2 10]
  [11  4 11]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]]

 [[ 9  3  7]
  [10  4  8]
  [10  4  8]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]]

 ...

 [[ 6  2  3]
  [ 6  2  3]
  [ 6  2  3]
  ...
  [ 0  0  0]
  [ 2  2  2]
  [ 3  3  3]]

 [[ 5  1  2]
  [ 5  1  2]
  [ 5  1  2]
  ...
  [ 0  0  0]
  [ 2  2  2]
  [ 3  3  3]]

 [[ 5  1  2]
  [ 4  0  1]
  [ 4  0  1]
  ...
  [ 0  0  0]
  [ 2  2  2]
  [ 3  3  3]]]",187, SAB(s)bc                                                                                             ,espiral,0,,espiral barrada intermedia,2
105,"[[[6 6 8]
  [5 5 7]
  [4 4 6]
  ...
  [7 1 1]
  [7 1 1]
  [8 2 2]]

 [[6 6 8]
  [5 5 7]
  [4 4 6]
  ...
  [7 1 1]
  [7 1 1]
  [8 2 2]]

 [[5 6 8]
  [4 5 7]
  [4 4 6]
  ...
  [6 0 0]
  [7 1 1]
  [7 1 1]]

 ...

 [[2 2 0]
  [2 2 0]
  [2 2 0]
  ...
  [0 0 2]
  [0 0 4]
  [0 0 4]]

 [[2 2 0]
  [2 2 0]
  [2 2 0]
  ...
  [0 0 2]
  [0 0 4]
  [0 0 4]]

 [[2 2 0]
  [2 2 0]
  [2 2 0]
  ...
  [0 0 2]
  [0 0 4]
  [0 0 4]]]",186, S_AB(s)a                                                                            ,espiral,0,,espiral barrada intermedia,2
107,"[[[5 1 0]
  [6 2 1]
  [6 2 1]
  ...
  [3 3 3]
  [3 3 3]
  [3 3 3]]

 [[5 1 0]
  [6 2 1]
  [6 2 1]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]

 [[3 2 0]
  [3 2 0]
  [4 3 1]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 ...

 [[8 4 5]
  [8 4 5]
  [8 4 5]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]

 [[7 3 4]
  [7 3 4]
  [7 3 4]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]

 [[6 2 3]
  [6 2 3]
  [6 2 3]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]]",189, E2                                                                                                   ,elíptica,1,,elíptica,6
10,"[[[21 13  2]
  [22 14  3]
  [24 16  5]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]]

 [[22 14  3]
  [23 15  4]
  [25 17  6]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]]

 [[23 17  3]
  [24 18  4]
  [26 20  6]
  ...
  [ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]]

 ...

 [[ 6  5  3]
  [ 6  5  3]
  [ 6  5  3]
  ...
  [ 4  2  3]
  [ 4  2  3]
  [ 5  3  4]]

 [[ 5  4  2]
  [ 5  4  2]
  [ 5  4  2]
  ...
  [ 4  2  3]
  [ 5  3  4]
  [ 5  3  4]]

 [[ 5  4  2]
  [ 5  4  2]
  [ 5  4  2]
  ...
  [ 5  3  4]
  [ 5  3  4]
  [ 6  4  5]]]",13, E3-4                                                                                                 ,elíptica,1,,elíptica,6
108,"[[[18  5 12]
  [18  5 12]
  [18  5 12]
  ...
  [11  0  4]
  [11  0  4]
  [11  0  4]]

 [[18  5 12]
  [18  5 12]
  [18  5 12]
  ...
  [11  0  4]
  [11  0  4]
  [11  0  4]]

 [[18  5 12]
  [18  5 12]
  [18  5 12]
  ...
  [11  0  4]
  [11  0  4]
  [11  0  4]]

 ...

 [[ 5  5  3]
  [ 5  5  3]
  [ 5  5  3]
  ...
  [ 4  2  5]
  [ 6  1  5]
  [ 6  1  5]]

 [[ 5  5  3]
  [ 5  5  3]
  [ 5  5  3]
  ...
  [ 4  2  7]
  [ 6  1  7]
  [ 6  1  7]]

 [[ 5  5  3]
  [ 5  5  3]
  [ 5  5  3]
  ...
  [ 4  2  7]
  [ 6  1  7]
  [ 6  1  7]]]",194, SB(s)d sp / E7                                                                                       ,espiral,0,,espiral barrada,1
