Clasificación_Real,explicación_clasificación_2,clasificación_2
 SA(rs)bc                                                                                             ,espiral no barrada,0
 SB(rs)cd                                                                                             ,espiral barrada,1
 SA(rs)c                                                                                              ,espiral no barrada,0
 SA(rs)b:                                                                                             ,espiral no barrada,0
 SB(s)m pec or Pec (merger)                                                                           ,espiral barrada,1
 SAB(rs)ab                                                                                            ,espiral barrada intermedia,2
 SA(s)cd                                                                                              ,espiral no barrada,0
 SAc pec                                                                                              ,espiral no barrada,0
 SA(s)cd                                                                                              ,espiral no barrada,0
 Sb: spw pec                                                                                          ,espiral barra indeterminada,4
 E3-4                                                                                                 ,elíptica,6
 E2                                                                                                   ,elíptica,6
 (R')SA(l)b                                                                                 ,espiral no barrada,0
 S0^o / E(d)7                                                                                       ,lenticular,5
 SA(s)bc                                                                                              ,espiral no barrada,0
 S_AB(rs)c pec                                                                       ,espiral barrada intermedia,2
 Sdm: sp                                                                                              ,espiral barra indeterminada,4
 (R'L)SA(_rs)a                                                             ,espiral no barrada,0
 Pec (merger)                                                                                         ,peculiar,8
 SAcd sp pec                                                                                          ,espiral no barrada,0
 (R)S_AB(rl)0^+                                                                    ,espiral barrada intermedia,2
 SA(r)0^+ / E1                                                                                      ,espiral no barrada,0
 Sd: sp                                                                                               ,espiral barra indeterminada,4
 Sdm sp                                                                                               ,espiral barra indeterminada,4
 SA(rs)bc                                                                                             ,espiral no barrada,0
 SB(s)d                                                                                               ,espiral barrada,1
 SA(s)ab                                                                                              ,espiral no barrada,0
 (R')SA(s)c pec                                                                             ,espiral no barrada,0
 SB(s)cd                                                                                              ,espiral barrada,1
 SAB(s)c                                                                                              ,espiral barrada intermedia,2
 SA(rs)c                                                                                              ,espiral no barrada,0
 SA(rs)c                                                                                              ,espiral no barrada,0
" (R')SA(_rs,r'l)b                                                ",espiral no barrada,0
 SAB(s)dm sp pec                                                                                      ,espiral barrada intermedia,2
 SA(rl)0^+                                                                                          ,espiral no barrada,0
 IB(s)m                                                                                               ,irregular,7
 SB(_rs)b                                                                            ,espiral barrada,1
 SAB(rs)bc                                                                                            ,espiral barrada intermedia,2
 SA(s)m                                                                                               ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 SA(r_s)b                                                                            ,espiral no barrada,0
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
 SA(s)dm pec                                                                                          ,espiral no barrada,0
 SAB(s)b                                                                                              ,espiral barrada intermedia,2
" (R_1'R_2')SB(p,rs,ns,tb)b                                                        ",espiral barrada,1
 SAB_a(rs)0/a                                                                                       ,espiral barrada peculiar,3
 SA(s)cd                                                                                              ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SA_B(s)d                                                                            ,espiral barrada intermedia,2
 (R_2')SB(r'l)0/a                                                                 ,espiral barrada,1
 IB(s)m sp                                                                                            ,irregular,7
 SB(s)m: pec                                                                                          ,espiral barrada,1
 (R')SAB(s)b                                                                                ,espiral barrada intermedia,2
 SAB(s)bc                                                                                             ,espiral barrada intermedia,2
" (L,R_1')SAB(rs)a                                                                           ",espiral barrada intermedia,2
 SAB(_rs)b                                                                           ,espiral barrada intermedia,2
 SA(l:)0/a                                                                                            ,espiral no barrada,0
 Sc sp                                                                                                ,espiral barra indeterminada,4
 S_AB(rs)b                                                                           ,espiral barrada intermedia,2
 S_AB(s)c                                                                            ,espiral barrada intermedia,2
 SA(s)b: pec                                                                                          ,espiral no barrada,0
