1,1,205, SA(r_s)bc                                                                           , SA(rs)bc                                                                                             ,SA,SA
2,2,223, SB(rs)cd                                                                                             , SB(rs)cd                                                                                             ,SB,SB
3,4,279, SA(rs)c sp                                                                                           , SA(rs)c                                                                                              ,SA,SA
4,5,602, SA(s)b:                                                                                              , SA(rs)b:                                                                                             ,SA,SA
5,6,652, SAB(s)m / RG? pec                                                                                    , SB(s)m pec or Pec (merger)                                                                           ,SAB,SB
6,7,793, SA_B(rs)b                                                                           , SAB(rs)ab                                                                                            ,SAB,SAB
7,8,833, SA(s)cd                                                                                              , SA(s)cd                                                                                              ,SA,SA
8,9,859, SA(s)d:                                                                                              , SAc pec                                                                                              ,SA,SA
9,11,963, S_AB(r_s)d                                                         , SA(s)cd                                                                                              ,SAB,SA
10,12,1056, SAB(s)m sp pec                                                                                       , Sb: spw pec                                                                                          ,SAB,S
11,13,1074, E2-3                                                                                                 , E3-4                                                                                                 ,E,E
12,14,1216, E3                                                                                                   , E2                                                                                                   ,E,E
13,15,1347, (R')SA(r'l)b                                                                     , (R')SA(l)b                                                                                 ,SA,SA
14,16,1380, S0^+ sp                                                                                            , S0^o / E(d)7                                                                                       ,S,S0
15,17,1494, SA(s)bc                                                                                              , SA(s)bc                                                                                              ,SA,SA
16,18,1516, SAB(rs)c                                                                                             , S_AB(rs)c pec                                                                       ,SAB,SAB
17,19,1527, Sm: sp                                                                                               , Sdm: sp                                                                                              ,S,S
18,21,1605, (R'L)SA(rs)a                                                                               , (R'L)SA(_rs)a                                                             ,SA,SA
19,22,1700, Pec (merger)                                                                                         , Pec (merger)                                                                                         ,OTHER,OTHER
20,23,1817, SA(s:)cd sp                                                                                          , SAcd sp pec                                                                                          ,SA,SA
21,24,1890, (R)S_AB(l)0^+                                                                     , (R)S_AB(rl)0^+                                                                    ,SAB,sAB
22,25,1888, SA(r)0^+ / E0                                                                                      , SA(r)0^+ / E1                                                                                      ,SA,SA
23,27,2021, Sd sp / Sph?                                                                                         , Sd: sp                                                                                               ,S,S
24,29,2085, SAB:(s)dm sp                                                                                         , Sdm sp                                                                                               ,SAB,S
25,30,2246, SA(rs)bc                                                                                             , SA(rs)bc                                                                                             ,SA,SA
26,31,2314, SB(s)cd                                                                                              , SB(s)d                                                                                               ,SB,SB
27,32,2575, SA(s)b                                                                                               , SA(s)ab                                                                                              ,SA,SA
28,33,2597," SA(rs,s)bc                                                                                           ", (R')SA(s)c pec                                                                             ,SA,SA
29,34,2739, SB(s)d                                                                                               , SB(s)cd                                                                                              ,SB,SB
30,36,3011, SAB(r_s)c                                                                           , SAB(s)c                                                                                              ,SAB,SAB
31,37,3184, S_AB_a(r_s)bc                                                    , SA(rs)c                                                                                              ,"SAB_(x,a)",SA
32,39,3219, (R'L)SA(r'l)bc                                                                   , SA(rs)c                                                                                              ,SA,SA
33,40,3225, (R'R')SA(r)b                                                                     ," (R')SA(_rs,r'l)b                                                ",SA,SA
34,42,3821, Sm sp pec                                                                                            , SAB(s)dm sp pec                                                                                      ,S,SAB
35,43,3897, SA(r)0^+                                                                                           , SA(rl)0^+                                                                                          ,SA,SA
36,44,3934, SAB(rs)m: (cc)                                                                                       , IB(s)m                                                                                               ,SAB,I
37,47,4593, (R')SA_B(rs)b                                                             , SB(_rs)b                                                                            ,SAB,SB
38,49,4672, SAB_a(rs)bc                                                                                        , SAB(rs)bc                                                                                            ,"SAB_(x,a)",SAB
39,50,5345, (R')I_ABm pec                                                             , SA(s)m                                                                                               ,I,SA
40,51,5471, SA(rs)ab:                                                                                            , SA(s)b                                                                                               ,SA,SA
41,52,5598, S_AB_a(s)b                                                                        , SA(r_s)b                                                                            ,"SAB_(x,a)",SA
42,53,5634, SAB(rs)b                                                                                             , SAB(rs)b                                                                                             ,SAB,SAB
43,54,5805, (R')S_AB(s)dm                                                             , SA(s)dm pec                                                                                          ,SAB,SA
44,55,5890, SAB(s)b:                                                                                             , SAB(s)b                                                                                              ,SAB,SAB
45,56,5939," (R',R_1')SB(rs,tb)b                                                              "," (R_1'R_2')SB(p,rs,ns,tb)b                                                        ",SB,SB
46,57,6036, SAB(rs)0/a                                                                                           , SAB_a(rs)0/a                                                                                       ,SAB,"SAB_(x,a)"
47,58,6074, SA(s)c sp                                                                                            , SA(s)cd                                                                                              ,SA,SA
48,59,6061, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
49,60,6175, SA_B(s)cd                                                                           , SA_B(s)d                                                                            ,SAB,SAB
50,61,6293, (RL)SB(rl)0/a                                                                                        , (R_2')SB(r'l)0/a                                                                 ,SB,SB
51,63,6402, SB(s)m sp                                                                                            , IB(s)m sp                                                                                            ,SB,I
52,64,6528, SB(s)m                                                                                               , SB(s)m: pec                                                                                          ,SB,SB
53,65,6534, (R)SAB(s)b                                                                                           , (R')SAB(s)b                                                                                ,SAB,SAB
54,67,6996, SAB(s)c                                                                                              , SAB(s)bc                                                                                             ,SAB,SAB
55,68,6993," (L,R')SA_B(rs,nl)a                                                        "," (L,R_1')SAB(rs)a                                                                           ",SAB,SAB
56,69,7023, SAB(rs)b                                                                                             , SAB(_rs)b                                                                           ,SAB,SAB
57,70,7110, SA0^+                                                                                              , SA(l:)0/a                                                                                            ,SA,SA
58,71,7150, Sc sp                                                                                                , Sc sp                                                                                                ,S,S
59,72,7164, SAB(rs)b                                                                                             , S_AB(rs)b                                                                           ,SAB,SAB
60,73,7192, S_AB(rs)c                                                                           , S_AB(s)c                                                                            ,SAB,SAB
61,74,7353, SA(rs)ab pec                                                                                         , SA(s)b: pec                                                                                          ,SA,SA
62,75,7327, IB(s)m                                                                                               , IB(s)m                                                                                               ,I,I
63,76,7359, SAB(r_s)c pec                                                                       , SAB(rs)c pec                                                                                         ,SAB,SAB
64,77,7377, SA(s)c                                                                                               , SA(r_s)c                                                                            ,SA,SA
65,78,7420, (R')SA:(s)cd sp                                                                            , SA(s)c sp                                                                                            ,SA,SA
66,79,7436, SB0^-                                                                                              , SAB0^-                                                                                             ,SB,SAB
67,80,7525," SA(s,nl)bc pec                                                                                       ", SA(s)bc pec                                                                                          ,SA,SA
68,81,7577, S0^- sp / E(d)8                                                                                    , S0^- sp / E(d)8                                                                                    ,S,S0
