"1","1","205","4","9",,"SA","(rs)","bc",,,
"2","2","223","6","5",,"SB","(rs)","cd",,,
"3","4","279","5","3",,"SA","(rs)","c","sp",,
"4","5","602","3","99",,"SA","(r_s)","b:",,,
"5","6","652","9","4",,"SA_B","(s)","m",,"pec",
"6","7","793","2.5","9",,"SAB","(rs)","a_b",,,
"7","8","833","6","9",,"SA","(s)","cd",,,
"8","9","859","6","1:",,"SA","(s:)","cd:",,"pec",
"9","11","963","6.5","5",,"SA","(s)","c_d",,,
"10","12","1056","6","99",,"SAB:","(s:)","cd:","sp","pec",
"11","13","1074","-5","99",,,,"E3",,,
"12","14","1216","-5","99",,,,"E2-3",,,
"13","15","1347","3","99","(RP)","SA","(rp_l)","b",,,
"14","16","1380","-1.5","99",,"S",,"0^o+","sp",,"/ E(d)7"
"15","17","1494","4","9",,"SA","(s)","bc",,,
"16","18","1516","5","7",,"SAB","(rs)","c",,"pec",
"17","19","1527","8.5","99",,"S",,"d_m:","sp",,
"18","21","1605","1","99","(RPL)","SA","(rs)","a",,,
"19","22","1700","99","99",,,,,,,"Pec (merger)"
"20","23","1817","6","99",,"SA:","(s)","cd","sp","pec",
"21","24","1890","-1","99","(R)","S_AB","(r_l)","0^+",,,
"22","25","1888","-1","99",,"SA","(r)","0^+",,,"/ E0-1"
"23","27","2021","7","99",,"S",,"d","sp",,"/ Sph?"
"24","29","2085","8","99",,"SAB:","(s:)","dm","sp",,
"25","30","2246","4","9",,"SA","(rs)","bc",,,
"26","31","2314","6.5","5",,"SB","(s)","c_d",,,
"27","32","2575","2.5","9",,"SA","(s)","a_b",,,
"28","33","2597","4.5","7","(RP)","SA","(rs,s)","b_c",,"pec",
"29","34","2739","6.5","5:",,"SB","(s)","c_d",,,
"30","36","3011","5","9",,"SAB","(s)","c",,,
"31","37","3184","4.5","9",,"SA_a","(rs)","b_c",,,
"32","39","3219","4.5","5","(RPL)","SA","(_rpl)","b_c",,,
"33","40","3225","3","99","(RP)","SA","(r,rpl)","b",,,
"34","42","3821","8.5","99",,"SAB:","(s:)","d_m","sp","pec",
"35","43","3897","-1","99",,"SA","(_rl)","0^+",,,
"36","44","3934","9.5","99",,"S/IA_B","(r_s)","m:",,,"(cc)"
"37","47","4593","3","9","(RP)","SB","(rs)","b",,,
"38","49","4672","4","9",,"SAB_a","(rs)","bc",,,
"39","50","5345","9.5","99","(RP)","S/IA","(s:)","m",,"pec",
"40","51","5471","2.5","3",,"SA","(r_s)","a_b:",,,
"41","52","5598","3","6",,"SA_a","(s)","b",,,
"42","53","5634","3","9",,"SAB","(rs)","b",,,
"43","54","5805","8","99","(RP)","SA","(s)","dm",,"pec",
"44","55","5890","3","99",,"SAB","(s)","b:",,,
"45","56","5939","3","8","(R1PR2P)","SB","(p,rs,ns,tb)","b",,,
"46","57","6036","0","99",,"SAB_a","(rs)","0/a",,,
"47","58","6074","5.5","9",,"SA","(s)","_cd","sp",,
"48","59","6061","5","9",,"SA","(s)","c",,,
"49","60","6175","6.5","5",,"SA_B","(s)","c_d",,,
"50","61","6293","0","99","(R2PL)","SB","(rpl)","0/a",,,
"51","63","6402","9.5","99",,"S/IB","(s)","m","sp",,
"52","64","6528","9","99",,"SB","(s)","m:",,"pec",
"53","65","6534","3","6:","(R)","SAB","(s)","b",,,
"54","67","6996","4.5","9",,"SAB","(s)","b_c",,,
"55","68","6993","1","12","(L,R1P)","SAB","(rs,nl)","a",,,
"56","69","7023","3","6",,"SAB","(rs)","b",,,
"57","70","7110","-0.5","99",,"SA","(l:)","_0/a",,,
"58","71","7150","5","99",,"S",,"c","sp",,
"59","72","7164","3","9",,"SAB","(rs)","b",,,
"60","73","7192","5","9",,"S_AB","(r_s)","c",,,
"61","74","7353","2.5","99",,"SA","(r_s)","a_b:",,"pec",
"62","75","7327","10","99",,"IB","(s)","m",,,
"63","76","7359","5","5:",,"SAB","(rs)","c",,"pec",
"64","77","7377","5","9",,"SA","(s)","c",,,
"65","78","7420","5.5","3","(RP)","SA:","(s)","_cd","sp",,
"66","79","7436","-3","99",,"SA_B",,"0^-",,,
"67","80","7525","4","9",,"SA","(s,nl)","bc",,"pec",
"68","81","7577","-3","99",,"S",,"0^-","sp",,"/ E(d)8"
"69","82","7614","6","9",,"SA","(s,nl)","cd",,,
"70","83","7674","3.5","3",,"SA","(rs)","_bc:",,,
